country,Region,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Bank capital to assets ratio (%),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit to private sector (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)",GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),Human capital index (HCI) (scale 0-1),"Labor force, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Kenya,EasternAfrica,69.77580096,4.259990845,65.51581011,14.61677573,,,200.2336423,32.74000985,,,64860101745.0,-0.30749749,1206.221567,,,,0.546752512,23738918,94.47816003,2.251879431,27052773,26718527,53771300,,8297263559.0,2.98,15053275,80.625
Malaysia,South-easternAsia,44.15828212,10.35587536,33.80240676,11.63881523,66.82710171,47.18840918,120.0799867,134.1417111,,,376654000000.0,-5.587744678,11637.3512,369819000000.0,-4.786290729,11426.15541,0.61097616,15904215,98.51163598,1.294285057,15735185,16630813,32365998,,107644000000.0,4.55,24973604,50.0
Mexico,CentralAmerica,50.27056808,11.44776791,38.82280017,10.65378567,2.310163738,18.88332579,146.3504877,38.65694091,39.23,68.25,1201950000000.0,-8.239473277,9322.335713,1159540000000.0,-8.827351274,8993.380996,0.612949848,53978977,66.32513851,1.058240034,65861267,63071486,128932753,57.13687151,199069000000.0,4.71,104088701,88.75
Morocco,NorthernAfrica,52.38010744,11.59101335,40.78909409,,51.15949514,31.00353506,111.8516604,,,,117286000000.0,-7.117232169,3126.964069,115446000000.0,-6.717407285,3077.899418,0.504116356,11523035,82.70346852,1.195920777,18593671,18316887,36910558,,35997639773.0,10.15,23450016,75.625
Nepal,SouthernAsia,52.99376863,8.916701729,44.0770669,10.58128151,69.70466177,17.7992268,198.2653074,87.8527117,,,24262542368.0,-2.088378695,832.7110632,24554425781.0,-1.981628901,842.7287499,0.504601777,16017418,203.2564213,1.829086293,15788373,13348435,29136808,,11467799302.0,4.44,5995190,80.625
Netherlands,WesternEurope,55.60927671,31.17604023,24.43323647,5.87976271,72.22719004,72.84667755,117.3828783,101.064264,57.51,66.75,925799000000.0,-3.741328235,53081.31101,,,,0.789915025,9387604,518.0023463,0.553470993,8751402,8689737,17441139,86.38199654,53971404675.0,4.09,16087009,97.5
Nigeria,WesternAfrica,85.96235196,5.091768374,80.87058358,6.262093004,6.127430118,37.95642452,,12.13184984,,,468600000000.0,-1.794253082,2273.218561,454834000000.0,-2.207016563,2206.434649,0.360609829,62242961,226.335504,2.542973405,101669950,104469637,206139587,,36729565818.0,9.01,107106007,63.125
Norway,NorthernEurope,53.33583597,26.87452826,26.46130771,,39.84088306,57.96380708,121.8170301,165.8295332,59.44,62.48,488912000000.0,-0.762477535,90884.6146,509018000000.0,0.472418351,94622.3294,0.771051168,2836708,14.7339341,0.588757324,2660602,2718873,5379475,94.5842868,75258813465.0,4.62,4463566,96.875
Pakistan,SouthernAsia,64.38774135,7.14864722,57.23909413,7.239382727,73.02404517,45.68848148,200.078979,17.12766575,,,258078000000.0,0.525527439,1168.342974,252434000000.0,0.370705999,1142.790876,0.406070024,72334842,286.5456764,1.978319567,107220324,113672007,220892331,,18521734364.0,4.65,82094635,55.625
Peru,SouthAmerica,50.18939111,13.1044181,37.08497301,10.51474674,,,132.1544785,55.14749585,52.90000153,67.91999817,187457000000.0,-11.14881188,5685.370839,181470000000.0,-10.23607116,5503.792648,0.605192661,16181966,25.75925469,1.409210058,16593240,16378606,32971846,76.57150173,,6.24,25815966,95.0
