Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
United States,Tokelau,2020,Export,3,0.07,87.42,0
United States,Turkmenistan,2020,Export,169,3.73,32907.93,0
United States,East Timor,2020,Export,59,1.3,9329.93,0
United States,Tonga,2020,Export,136,3,14722.08,0
United States,Trinidad and Tobago,2020,Export,2538,56.08,2370080.8,0.17
United States,Tunisia,2020,Export,750,16.57,433877.83,0.03
United States,Turkey,2020,Export,2316,51.17,10007520.76,0.7
United States,Tuvalu,2020,Export,12,0.27,1682,0
United States,Tanzania,2020,Export,533,11.78,245762.98,0.02
United States,Uganda,2020,Export,493,10.89,94995.13,0.01
United States,Ukraine,2020,Export,1208,26.69,1840287.62,0.13
United States,Uruguay,2020,Export,1671,36.92,1249984.62,0.09
United States,Uzbekistan,2020,Export,347,7.67,180939.68,0.01
United States,Holy See,2020,Export,7,0.15,314.94,0
United States,St. Vincent and the Grenadines,2020,Export,924,20.42,76873.71,0.01
United States,Venezuela,2020,Export,1704,37.65,1131386.99,0.08
United States,British Virgin Islands,2020,Export,1320,29.16,284149.5,0.02
United States,Vietnam,2020,Export,2442,53.95,9989334.12,0.7
United States,Vanuatu,2020,Export,58,1.28,7014.19,0
United States, World,2020,Export,4526,100,1430253623.49,100
United States,Wallis and Futura Isl.,2020,Export,7,0.15,156.17,0
United States,Samoa,2020,Export,218,4.82,26307.39,0
United States,Yemen,2020,Export,261,5.77,331127.67,0.02
United States,South Africa,2020,Export,2333,51.55,4454735.15,0.31
United States,"Congo, Dem. Rep.",2020,Export,342,7.56,152906.39,0.01
United States,Zambia,2020,Export,389,8.59,71820.75,0.01
United States,Zimbabwe,2020,Export,256,5.66,46428.94,0
